2025/07/23 11:49:41.382, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 64, 2325 MHz, 445.88 W
2025/07/23 11:49:43.665, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 66, 2340 MHz, 443.15 W
2025/07/23 11:49:45.945, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 67, 2325 MHz, 447.52 W
2025/07/23 11:49:48.230, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 68, 2325 MHz, 445.98 W
2025/07/23 11:49:50.519, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 69, 2325 MHz, 448.87 W
2025/07/23 11:49:52.815, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 70, 2325 MHz, 447.66 W
2025/07/23 11:49:55.138, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 70, 2325 MHz, 449.66 W
2025/07/23 11:49:57.426, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 71, 2295 MHz, 448.30 W
2025/07/23 11:49:59.709, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 71, 2325 MHz, 445.39 W
2025/07/23 11:50:01.987, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 72, 2280 MHz, 448.70 W
2025/07/23 11:50:04.267, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 73, 2325 MHz, 447.15 W
2025/07/23 11:50:06.545, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 73, 2325 MHz, 447.38 W
2025/07/23 11:50:08.837, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 73, 2265 MHz, 446.88 W
2025/07/23 11:50:11.116, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 74, 2325 MHz, 448.08 W
2025/07/23 11:50:13.430, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 72, 2325 MHz, 448.39 W
2025/07/23 11:50:15.717, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 75, 2325 MHz, 448.69 W
2025/07/23 11:50:17.992, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 75, 2295 MHz, 448.09 W
2025/07/23 11:50:20.270, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 75, 2550 MHz, 451.40 W
2025/07/23 11:50:22.545, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 76, 2295 MHz, 446.78 W
2025/07/23 11:50:24.822, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 76, 2295 MHz, 448.33 W
2025/07/23 11:50:27.109, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 76, 2295 MHz, 447.61 W
2025/07/23 11:50:29.400, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 76, 2280 MHz, 448.39 W
2025/07/23 11:50:31.707, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 77, 2295 MHz, 447.43 W
2025/07/23 11:50:34.017, NVIDIA GeForce RTX 4090, 00000000:21:00.0, 100 %, 77, 2250 MHz, 448.62 W
