2025/07/23 11:49:41.416, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 63, 2370 MHz, 451.14 W
2025/07/23 11:49:43.699, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 65, 2370 MHz, 446.77 W
2025/07/23 11:49:45.980, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 66, 2355 MHz, 449.12 W
2025/07/23 11:49:48.264, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 67, 2340 MHz, 448.42 W
2025/07/23 11:49:50.554, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 69, 2355 MHz, 445.03 W
2025/07/23 11:49:52.850, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 70, 2400 MHz, 447.92 W
2025/07/23 11:49:55.173, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 71, 2340 MHz, 445.08 W
2025/07/23 11:49:57.461, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 72, 2325 MHz, 450.79 W
2025/07/23 11:49:59.743, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 72, 2325 MHz, 446.53 W
2025/07/23 11:50:02.022, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 74, 2340 MHz, 449.66 W
2025/07/23 11:50:04.301, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 74, 2325 MHz, 447.11 W
2025/07/23 11:50:06.579, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 75, 2325 MHz, 449.74 W
2025/07/23 11:50:08.870, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 75, 2295 MHz, 447.53 W
2025/07/23 11:50:11.160, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 76, 2325 MHz, 449.44 W
2025/07/23 11:50:13.464, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 76, 2280 MHz, 447.46 W
2025/07/23 11:50:15.751, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 76, 2325 MHz, 444.62 W
2025/07/23 11:50:18.026, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 77, 2280 MHz, 447.70 W
2025/07/23 11:50:20.303, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 77, 2280 MHz, 448.71 W
2025/07/23 11:50:22.578, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 78, 2280 MHz, 446.43 W
2025/07/23 11:50:24.857, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 78, 2310 MHz, 444.79 W
2025/07/23 11:50:27.144, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 78, 2295 MHz, 447.24 W
2025/07/23 11:50:29.453, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 78, 2340 MHz, 445.75 W
2025/07/23 11:50:31.743, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 79, 2340 MHz, 446.96 W
2025/07/23 11:50:34.052, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 73, 2400 MHz, 446.43 W
2025/07/23 11:50:36.355, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 79, 2340 MHz, 447.49 W
2025/07/23 11:50:38.641, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 79, 2280 MHz, 446.96 W
2025/07/23 11:50:40.923, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 80, 2310 MHz, 449.91 W
2025/07/23 11:50:43.208, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 80, 2280 MHz, 448.33 W
2025/07/23 11:50:45.491, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 80, 2295 MHz, 450.23 W
2025/07/23 11:50:47.777, NVIDIA GeForce RTX 4090, 00000000:41:00.0, 100 %, 80, 2295 MHz, 446.20 W
