2025/07/23 10:37:14.287, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 446.40 W
2025/07/23 10:37:16.310, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 448.37 W
2025/07/23 10:37:18.332, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 447.59 W
2025/07/23 10:37:20.355, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 449.07 W
2025/07/23 10:37:22.378, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2385 MHz, 451.27 W
2025/07/23 10:37:24.401, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 447.10 W
2025/07/23 10:37:26.423, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 449.08 W
2025/07/23 10:37:28.446, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 448.66 W
2025/07/23 10:37:30.468, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 448.04 W
2025/07/23 10:37:32.490, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 442.87 W
2025/07/23 10:37:34.513, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 448.04 W
2025/07/23 10:37:36.535, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 449.95 W
2025/07/23 10:37:38.557, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 447.63 W
2025/07/23 10:37:40.580, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 449.32 W
2025/07/23 10:37:42.603, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 448.07 W
2025/07/23 10:37:44.625, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2655 MHz, 449.24 W
2025/07/23 10:37:46.648, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 448.90 W
2025/07/23 10:37:48.670, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2325 MHz, 447.53 W
