2025/07/21 23:02:38.064, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1455 MHz, 308.08 W
2025/07/21 23:02:40.087, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 310.68 W
2025/07/21 23:02:42.111, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1275 MHz, 315.69 W
2025/07/21 23:02:44.134, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 310.61 W
2025/07/21 23:02:46.157, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.55 W
2025/07/21 23:02:48.181, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.20 W
2025/07/21 23:02:50.205, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.25 W
2025/07/21 23:02:52.228, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.43 W
2025/07/21 23:02:54.251, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1185 MHz, 307.40 W
2025/07/21 23:02:56.275, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 306.60 W
2025/07/21 23:02:58.298, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1515 MHz, 307.28 W
2025/07/21 23:03:00.321, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1215 MHz, 307.85 W
2025/07/21 23:03:02.345, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.67 W
2025/07/21 23:03:04.368, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1215 MHz, 307.05 W
2025/07/21 23:03:06.391, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1275 MHz, 311.48 W
2025/07/21 23:03:08.415, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1230 MHz, 308.59 W
2025/07/21 23:03:10.439, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1155 MHz, 299.16 W
2025/07/21 23:03:12.462, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1155 MHz, 299.77 W
2025/07/21 23:03:14.485, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 300.06 W
2025/07/21 23:03:16.508, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1215 MHz, 306.83 W
2025/07/21 23:03:18.532, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1215 MHz, 306.41 W
2025/07/21 23:03:20.555, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1155 MHz, 299.09 W
2025/07/21 23:03:22.578, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1200 MHz, 306.17 W
2025/07/21 23:03:24.602, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1200 MHz, 306.04 W
2025/07/21 23:03:26.628, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1215 MHz, 306.40 W
2025/07/21 23:03:28.651, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1200 MHz, 303.05 W
2025/07/21 23:03:30.674, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 294.38 W
2025/07/21 23:03:32.698, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1290 MHz, 302.05 W
2025/07/21 23:03:34.721, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1080 MHz, 302.45 W
2025/07/21 23:03:36.744, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.66 W
2025/07/21 23:03:38.768, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1170 MHz, 302.49 W
2025/07/21 23:03:40.792, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1170 MHz, 301.50 W
2025/07/21 23:03:42.815, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1170 MHz, 302.07 W
2025/07/21 23:03:44.838, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.39 W
2025/07/21 23:03:46.861, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1170 MHz, 302.42 W
2025/07/21 23:03:48.885, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 303.02 W
2025/07/21 23:03:50.908, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.56 W
2025/07/21 23:03:52.932, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.89 W
2025/07/21 23:03:54.955, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.82 W
2025/07/21 23:03:56.978, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1170 MHz, 303.17 W
2025/07/21 23:03:59.001, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1170 MHz, 303.27 W
2025/07/21 23:04:01.026, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 298.48 W
2025/07/21 23:04:03.052, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.67 W
2025/07/21 23:04:05.075, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1200 MHz, 305.80 W
2025/07/21 23:04:07.099, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 299.69 W
2025/07/21 23:04:09.122, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 300.26 W
2025/07/21 23:04:11.146, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 299.99 W
2025/07/21 23:04:13.169, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 300.28 W
2025/07/21 23:04:15.192, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 300.05 W
2025/07/21 23:04:17.215, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 299.98 W
